Date,DayOfWeek,S&P500,Gold_Close,Bitcoin_Close,Ethereum_Close
2016-01-04,1,2012.66,1075.0999755859375,433.0910034179687,0.9544799924
2016-01-05,2,2016.71,1078.4000244140625,431.9599914550781,0.9501760006
2016-01-06,3,1990.26,1091.9000244140625,429.1050109863281,0.9508600235
2016-01-07,4,1943.09,1107.699951171875,458.0480041503906,0.9420049787
2016-01-08,5,1922.03,1097.800048828125,453.2300109863281,0.9867889881
2016-01-11,1,1923.67,1096.5,448.4280090332031,1.0615999699
2016-01-12,2,1938.68,1085.5999755859375,435.69000244140625,1.1410000324
2016-01-13,3,1890.28,1087.5,432.3710021972656,1.1252000332
2016-01-14,4,1921.84,1073.9000244140625,430.3059997558594,1.1895899773
2016-01-15,5,1880.33,1091.5,364.33099365234375,1.2080099583
2016-01-19,2,1881.33,1089.9000244140625,380.14898681640625,1.3713899851
2016-01-20,3,1859.33,1107.0999755859375,420.2300109863281,1.5318200588
2016-01-21,4,1868.99,1099.0999755859375,410.2619934082031,1.5535700321
2016-01-22,5,1906.9,1097.199951171875,382.4920043945313,1.5012700558
2016-01-25,1,1877.08,1106.199951171875,391.72601318359375,2.4992699623
2016-01-26,2,1903.63,1121.699951171875,392.1530151367187,2.2763700485
2016-01-27,3,1882.95,1116.0999755859375,394.9719848632813,2.3885500431
2016-01-28,4,1893.36,1115.5999755859375,380.28900146484375,2.5264899731
2016-01-29,5,1940.24,1116.4000244140625,379.4739990234375,2.4949600697
2016-02-01,1,1939.38,1127.9000244140625,373.0559997558594,2.211689949
2016-02-02,2,1903.03,1127.300048828125,374.447998046875,2.4396400452
2016-02-03,3,1912.53,1141.300048828125,369.9490051269531,2.5286900997
2016-02-04,4,1915.45,1157.5999755859375,389.593994140625,2.5780398846
2016-02-05,5,1880.05,1157.800048828125,386.5490112304687,2.5389900208
2016-02-08,1,1853.44,1197.9000244140625,373.4469909667969,3.17979002
2016-02-09,2,1852.21,1198.699951171875,376.0289916992187,4.0446400642
2016-02-10,3,1851.86,1194.699951171875,381.64898681640625,4.4362602234
2016-02-11,4,1829.08,1247.9000244140625,379.6539916992187,6.0131001472
2016-02-12,5,1864.78,1239.0999755859375,384.2630004882813,5.5469799042
2016-02-16,2,1895.58,1207.9000244140625,407.4880065917969,4.3152899742
2016-02-17,3,1926.82,1211.0999755859375,416.3219909667969,3.757240057
2016-02-18,4,1917.83,1226.0999755859375,422.37298583984375,4.3991298676
2016-02-19,5,1917.78,1230.4000244140625,420.7850036621094,4.7378897667
2016-02-22,1,1945.5,1209.5,437.74798583984375,5.6164999008
2016-02-23,2,1921.27,1222.300048828125,420.7359924316406,5.586209774
2016-02-24,3,1929.8,1238.699951171875,424.9549865722656,6.2364702225
2016-02-25,4,1951.7,1238.199951171875,424.54400634765625,6.1048002243
2016-02-26,5,1948.05,1219.800048828125,432.1520080566406,5.92166996
2016-02-29,1,1932.23,1233.9000244140625,437.6969909667969,6.3369898796
2016-03-01,2,1978.35,1230.300048828125,435.12298583984375,7.6536898613
2016-03-02,3,1986.45,1241.0999755859375,423.989013671875,8.4653902054
2016-03-03,4,1993.4,1257.4000244140625,421.6510009765625,9.2941503525
2016-03-04,5,1999.99,1269.9000244140625,410.9389953613281,10.4060001373
2016-03-07,1,2001.76,1263.199951171875,414.3210144042969,9.5526304245
2016-03-08,2,1979.26,1262.0999755859375,413.9719848632813,9.8472099304
2016-03-09,3,1989.26,1256.5999755859375,414.8599853515625,11.8979997635
2016-03-10,4,1989.57,1272.0,417.1310119628906,11.3050003052
2016-03-11,5,2022.19,1258.699951171875,421.69000244140625,11.0827999115
2016-03-14,1,2019.64,1244.4000244140625,416.43798828125,12.4525995255
2016-03-15,2,2015.93,1230.4000244140625,416.8299865722656,13.0100002289
2016-03-16,3,2027.22,1229.300048828125,417.010986328125,12.5208997726
2016-03-17,4,2040.59,1264.5,420.6210021972656,11.0815000534
2016-03-18,5,2049.58,1253.800048828125,409.5480041503906,10.9981002808
2016-03-21,1,2051.6,1243.800048828125,413.3070068359375,11.8641004562
2016-03-22,2,2049.8,1248.199951171875,418.0889892578125,11.2748003006
2016-03-23,3,2036.71,1223.699951171875,418.0409851074219,12.4167003632
